Date,Symbol,Open,High,Low,Close,Volume
12-02-2020,TCS,2151.1,2185,2150,2170.75,1620407
13-02-2020,TCS,2172.95,2197,2171,2191.95,1645948
14-02-2020,TCS,2188,2212,2171,2184.2,1500115
17-02-2020,TCS,2196.95,2217,2190.2,2203.25,1774724
18-02-2020,TCS,2199.95,2221,2186.05,2215.75,2486223
19-02-2020,TCS,2215.75,2230,2190.5,2196.35,1760463
20-02-2020,TCS,2204.5,2214.4,2151.25,2156.8,2317278
24-02-2020,TCS,2156,2178.95,2106.7,2115.35,3092877
25-02-2020,TCS,2115.5,2176.65,2111,2156.15,2674567
26-02-2020,TCS,2154,2163.9,2112.95,2123.6,2686842
27-02-2020,TCS,2119.95,2119.95,2086.2,2105.5,2349001
28-02-2020,TCS,2068,2069.5,1990,2000.15,4298076
02-03-2020,TCS,2035,2053.95,1985.7,2001.3,2667076
03-03-2020,TCS,2020,2060,2012,2036.2,2757585
04-03-2020,TCS,2056,2094.45,2025,2083.2,3237002
05-03-2020,TCS,2085.7,2147.75,2084.05,2125.05,3937056
06-03-2020,TCS,2098,2123.65,2071.6,2116.45,2595027
09-03-2020,TCS,2075,2079.9,1935,1972.35,4940982
11-03-2020,TCS,1933,1987.3,1920,1953.7,6796752
12-03-2020,TCS,1904,1908.4,1758.35,1769.85,8728972
13-03-2020,TCS,1687.9,1820,1506.05,1806.3,8029725
16-03-2020,TCS,1755,1842.25,1675.85,1696.4,7844420
17-03-2020,TCS,1730,1731,1623.15,1658,5713269
18-03-2020,TCS,1676.8,1713.55,1627.75,1654.4,7259111
19-03-2020,TCS,1559.7,1685.45,1546.75,1636.35,5135162
20-03-2020,TCS,1630,1869,1627,1797.45,8547645
23-03-2020,TCS,1620,1750,1617.75,1669.7,7003558
24-03-2020,TCS,1653.05,1770,1632.85,1703.15,6354209
25-03-2020,TCS,1700,1810,1680,1750.3,2765527
26-03-2020,TCS,1831.6,1832.05,1722.55,1790.95,4556071
27-03-2020,TCS,1820,1850,1750.4,1824.5,4331310
30-03-2020,TCS,1766,1905,1763.55,1778.5,8513608
31-03-2020,TCS,1837.4,1855,1780,1826.1,3927593
01-04-2020,TCS,1825.9,1834.75,1702,1708.75,4941898
03-04-2020,TCS,1740,1740,1650,1654.2,5735529
07-04-2020,TCS,1710,1785.85,1705,1775.2,5427965
08-04-2020,TCS,1760,1806,1701,1705.45,6285616
09-04-2020,TCS,1750.45,1778.8,1731.2,1766.15,5307649
13-04-2020,TCS,1761,1787,1746,1759.25,2990478
15-04-2020,TCS,1785,1812,1727.8,1735.15,4761401
16-04-2020,TCS,1709.95,1764.9,1675.05,1716.05,6245583
17-04-2020,TCS,1800,1851.95,1753,1806.2,9895825
20-04-2020,TCS,1830,1830,1802.5,1818.65,3244293
21-04-2020,TCS,1765,1794.6,1727.7,1737.65,5122606
22-04-2020,TCS,1737.65,1790,1719.15,1769.5,3829839
23-04-2020,TCS,1780,1900,1760.85,1878.25,5934424
24-04-2020,TCS,1840.7,1851.95,1807.8,1818.55,2987150
27-04-2020,TCS,1832.3,1875,1825,1836.6,3374747
28-04-2020,TCS,1865,1868,1832.6,1859.05,2678512
29-04-2020,TCS,1874,1912.55,1850.05,1905.65,4241579
30-04-2020,TCS,1980,2032,1942.2,2014.45,5915950
04-05-2020,TCS,1966,1966,1913.65,1930.45,3729409
05-05-2020,TCS,1955.1,1977,1927,1932.75,2905541
06-05-2020,TCS,1939.8,1953.7,1893.6,1903.6,3517432
07-05-2020,TCS,1910,1934.45,1883.35,1891.65,3166784
08-05-2020,TCS,1939.1,1939.5,1886.25,1893.4,2686536
11-05-2020,TCS,1909,1951.4,1909,1935.3,2449846
12-05-2020,TCS,1933.4,1956.5,1910.25,1949.5,3256630
13-05-2020,TCS,1994,1994,1925.65,1949.65,2656665
14-05-2020,TCS,1910,1923.1,1891.1,1902.35,2263204
15-05-2020,TCS,1916,1917.4,1865.2,1892.9,3173682
18-05-2020,TCS,1907,1952.95,1872.1,1945.6,3727896
19-05-2020,TCS,1903,1966.45,1903,1948.65,3198699
20-05-2020,TCS,1950,1962.9,1931.7,1953.6,2778505
21-05-2020,TCS,1946,1998,1941.15,1991.2,3400925
22-05-2020,TCS,1977.1,2032,1961.25,2020.35,3663422
26-05-2020,TCS,2015,2024,1925,1943,4575512
27-05-2020,TCS,1959,2010,1941.25,2005.3,3482185
28-05-2020,TCS,1988.5,2014,1971.3,2004.3,3475788
29-05-2020,TCS,1982,2002.65,1962.4,1972.35,7237765
01-06-2020,TCS,1990,2060,1981.1,2045.25,3747850
02-06-2020,TCS,2060.2,2081,2040.05,2047.15,2443886
03-06-2020,TCS,2051.85,2063.75,2020,2046.15,3699799
04-06-2020,TCS,2046.75,2100,2046.75,2091.55,4048593
05-06-2020,TCS,2091.6,2098,2040.3,2048.25,3573299
08-06-2020,TCS,2078.25,2095,2062.1,2071.75,2957841
09-06-2020,TCS,2063.1,2095.5,2060.25,2072.05,2910152
10-06-2020,TCS,2077.05,2132,2073.5,2108.75,5168494
11-06-2020,TCS,2100,2105,2061.8,2067.65,2269569
12-06-2020,TCS,2011.2,2049.2,2011,2039.5,2842757
15-06-2020,TCS,2039.1,2059,2000.95,2029.9,2399028
16-06-2020,TCS,2065,2073.95,2031,2045.8,2146528
17-06-2020,TCS,2046,2058.85,2026.55,2047.8,2703546
18-06-2020,TCS,2045,2059.2,2025.2,2038.1,1944471
19-06-2020,TCS,2042,2090,2032,2044.6,5681784
22-06-2020,TCS,2050,2052.25,2019.15,2027.95,3196138
23-06-2020,TCS,2027,2044,2010,2035.3,4206122
24-06-2020,TCS,2034,2064.25,2031.6,2042.2,2560951
25-06-2020,TCS,2035,2060,2009.25,2016.1,3044089
26-06-2020,TCS,2025,2132,2019.95,2118.85,6300912
29-06-2020,TCS,2108,2127.6,2091.3,2101.65,3076344
30-06-2020,TCS,2100,2111.9,2075.05,2082.15,3071877
01-07-2020,TCS,2079.7,2113.95,2079.5,2092.05,2503466
02-07-2020,TCS,2102,2165,2098,2157.15,3758709
03-07-2020,TCS,2163.65,2205,2160.25,2199.65,4185215
06-07-2020,TCS,2205,2269.9,2205,2263.2,5190366
07-07-2020,TCS,2275,2302.7,2232.15,2269.9,5630081
08-07-2020,TCS,2270,2274.4,2207.6,2218.9,2793674
09-07-2020,TCS,2229,2244.5,2191.05,2204.35,3443998
10-07-2020,TCS,2205.25,2249.85,2176,2222.35,9610327
13-07-2020,TCS,2220,2244.95,2210,2220,2963525
14-07-2020,TCS,2210,2239,2165,2171.95,2976749
